method,nx,variables,forward,backward,t*,final loss
dOPT,10,100,0.015869958006078377,0.002376832999289036,0.061124265861062295,-0.04770170816816264
FFOLayer (Modified),10,100,0.01709254100569524,0.01880225000786595,0.06112485680884667,-0.04770060371528126
FFOLayer (Lifted),10,100,0.03307654199306853,0.03531020900118165,0.06112031512524138,-0.04770000250931874
CVXPYLayers,10,100,0.038771499996073544,0.010526750003919005,0.06113628875576073,-0.047709264411547964
dOPT,20,400,0.09728183399420232,0.007028958003502339,0.02856008285237243,-0.0445441574411189
FFOLayer (Modified),20,400,0.09927045801305212,0.1024104589887429,0.028560992778912542,-0.044543163112517666
FFOLayer (Lifted),20,400,0.19969837501412258,0.20652474998496473,0.02844491807407244,-0.04437511360380155
CVXPYLayers,20,400,0.3366874580096919,0.4454378749942407,0.0285654879835512,-0.044555845364722645
dOPT,30,900,0.4430170000123326,0.028200041997479275,0.022757554454020903,-0.05383779840371616
FFOLayer (Modified),30,900,0.4371997079870198,0.4530384159879759,0.022764087527935187,-0.05385338751565559
FFOLayer (Lifted),30,900,0.7390147499972954,0.7536687499959953,0.022763112973813466,-0.05385766600741851
CVXPYLayers,30,900,2.4772262500191573,4.9547721249982715,0.02281026589478868,-0.05396364275861848
dOPT,40,1600,1.712010957999155,0.27306195901473984,0.004977642912196079,-0.01490550990611137
FFOLayer (Modified),40,1600,1.747559875017032,1.768029792001471,0.004958293406671564,-0.014844395680240204
FFOLayer (Lifted),40,1600,2.5120603750110604,2.4789131249999627,0.005557173329380743,-0.016783210758355097
CVXPYLayers,40,1600,53.76273941597901,27.503514665993862,0.005530347349257552,-0.016691380469714495
dOPT,50,2500,6.093562082969584,0.5409904580446891,-3.964825480582131e-06,0.0011144915144428334
FFOLayer (Modified),50,2500,6.0125622089835815,6.164581583987456,-3.5794825176280836e-06,0.0011134819316379367
FFOLayer (Lifted),50,2500,7.005488290975336,6.981941500038374,-1.1242691388653643e-05,0.0011435326156122732
dOPT,60,3600,13.762061457964592,1.07467916700989,-0.003756116946301069,0.09717165652235152
FFOLayer (Modified),60,3600,14.111197916965466,14.54583062499296,-0.0037561143247604807,0.09717169688015292
FFOLayer (Lifted),60,3600,14.7208803340327,14.284966874984093,-0.0037561082002523626,0.09717208799797226
dOPT,70,4900,35.96379325003363,2.160869500017725,-0.002965457830767371,0.09717807626454934
FFOLayer (Modified),70,4900,37.151962292031385,37.599644166009966,-0.002965459657549883,0.09717812521094021
FFOLayer (Lifted),70,4900,31.16890945803607,30.162445250025485,-0.002965482841499285,0.09717846876156352
CVXPYLayers,50,2500,276.34058833299787,109.60463733300276,-3.829493756124925e-06,0.001103774082059221
CVXPYLayers,60,3600,86.54774295899551,331.37540012499085,-0.0037555199419493173,0.09716845995786645
CVXPYLayers,70,4900,186.75770933402237,816.3317415830097,-0.0034572309977049407,2.266408639485358
